name,avg_daily_cost_inr,style_tags,best_months
Goa,2500,"relaxed,adventure,backpacking","Nov,Dec,Jan,Feb"
Manali,2200,"adventure,backpacking,relaxed","Mar,Apr,May,Oct,Nov"
Rishikesh,1800,"adventure,backpacking","Sep,Oct,Nov,Mar,Apr"
Udaipur,3200,"relaxed,luxury","Oct,Nov,Dec,Jan,Feb,Mar"
Jaipur,2800,"relaxed,adventure","Oct,Nov,Dec,Jan,Feb,Mar"
Kerala Backwaters,3500,"relaxed,luxury","Sep,Oct,Nov,Dec,Jan,Feb"
Ladakh,3000,"adventure,backpacking","Jun,Jul,Aug,Sep"
Andaman Islands,4500,"relaxed,adventure,luxury","Nov,Dec,Jan,Feb,Mar,Apr"
Shimla,2400,"relaxed,adventure","Mar,Apr,May,Sep,Oct"
Coorg,2600,"relaxed,adventure","Oct,Nov,Dec,Jan,Feb,Mar"
Varanasi,1800,"backpacking,relaxed","Oct,Nov,Dec,Jan,Feb"
Hampi,1900,"backpacking,adventure","Oct,Nov,Dec,Jan,Feb"
Mumbai,4000,"relaxed,adventure,luxury","Nov,Dec,Jan,Feb"
Darjeeling,2300,"relaxed,adventure","Mar,Apr,May,Oct,Nov"
Spiti Valley,2800,"adventure,backpacking","Jun,Jul,Aug,Sep"
Dubai,9500,"luxury,relaxed","Nov,Dec,Jan,Feb,Mar"
Singapore,9000,"luxury,relaxed,adventure","Feb,Mar,Apr,Jun,Jul"
Bali,6000,"relaxed,adventure,luxury","Apr,May,Jun,Jul,Aug,Sep"
Maldives,14000,"luxury,relaxed","Nov,Dec,Jan,Feb,Mar,Apr"
Thailand,5500,"relaxed,adventure,backpacking","Nov,Dec,Jan,Feb"
Nepal,2200,"adventure,backpacking","Mar,Apr,May,Oct,Nov"
Sri Lanka,4200,"relaxed,adventure","Dec,Jan,Feb,Mar"
Switzerland,15000,"luxury,relaxed,adventure","Jun,Jul,Aug,Sep"
Paris,13000,"luxury,relaxed","Apr,May,Jun,Sep,Oct"
London,14000,"luxury,relaxed","May,Jun,Jul,Aug,Sep"
New York,15000,"luxury,relaxed,adventure","Apr,May,Jun,Sep,Oct"
